feature_set,model,metric,direction,fold_mean,fold_median,fold_sd,fold_q025,fold_q975,aggregate_oof
invoice_behavior_only,A_elastic_net_logistic,roc_auc,higher,0.8523473684210526,0.8473684210526317,0.10493554394358609,0.6493201754385965,1.0,0.8564814814814815
invoice_behavior_only,A_elastic_net_logistic,pr_auc,higher,0.7612530782590179,0.7690241228070176,0.15374360137045154,0.5174166666666666,1.0,0.7305016601049934
invoice_behavior_only,A_elastic_net_logistic,brier,lower,0.12288225155307535,0.12085557252331132,0.029118638257509877,0.0676210999633803,0.1794662662388265,0.11715077763861202
invoice_behavior_only,A_elastic_net_logistic,log_loss,lower,0.40075993681926475,0.39777296195804834,0.0741423873135961,0.2590943640478219,0.5379060408125689,0.3901486970752992
invoice_behavior_only,A_elastic_net_logistic,ece_5bin,lower,0.14427894016823534,0.14282118728105725,0.054627698814944455,0.05861523104882564,0.2538660447111128,0.09160121404933536
invoice_behavior_only,A_elastic_net_logistic,balanced_accuracy_05,higher,0.7485526315789476,0.7486842105263158,0.10525044864497715,0.5796052631578947,0.9166666666666667,0.7436342592592593
invoice_behavior_only,A_elastic_net_logistic,f1_05,higher,0.6173124653124653,0.6333333333333333,0.1745894973428326,0.29642857142857143,0.9045454545454544,0.6363636363636364
invoice_behavior_only,A_elastic_net_logistic,precision_top20,higher,0.7080000000000001,0.8,0.19881280293845488,0.4,1.0,0.68
invoice_behavior_only,A_elastic_net_logistic,recall_top20,higher,0.6553333333333334,0.6666666666666666,0.1753014895683946,0.34833333333333333,1.0,0.6296296296296297
invoice_behavior_only,B_gradient_boosting,roc_auc,higher,0.8647982456140352,0.8925438596491229,0.115889434672501,0.5891315789473685,1.0,0.8614969135802468
invoice_behavior_only,B_gradient_boosting,pr_auc,higher,0.752141818629041,0.7691941391941393,0.1793865101095084,0.41268627133100816,1.0,0.6528883803686658
invoice_behavior_only,B_gradient_boosting,brier,lower,0.10772105853505522,0.10570583854107174,0.03251359271818157,0.055364496287196655,0.16758697065622064,0.1041228320701928
invoice_behavior_only,B_gradient_boosting,log_loss,lower,0.3587750138565895,0.3577817132198078,0.09142337975479485,0.2191407880985138,0.5536412920059908,0.3504440708941448
invoice_behavior_only,B_gradient_boosting,ece_5bin,lower,0.10901319991055995,0.10620574057730289,0.03838323550703302,0.03820286313965348,0.18004563144618016,0.05914598755837896
invoice_behavior_only,B_gradient_boosting,balanced_accuracy_05,higher,0.756140350877193,0.75,0.10544935942059966,0.576875,0.9424999999999999,0.7702546296296295
invoice_behavior_only,B_gradient_boosting,f1_05,higher,0.631060606060606,0.6666666666666666,0.17778813856111525,0.2857142857142857,0.9045454545454544,0.6666666666666666
invoice_behavior_only,B_gradient_boosting,precision_top20,higher,0.7319999999999999,0.8,0.18783405615878399,0.4,1.0,0.76
invoice_behavior_only,B_gradient_boosting,recall_top20,higher,0.6786666666666664,0.6666666666666666,0.16656595596662252,0.4,1.0,0.7037037037037037
