split_id,n_train,n_test,n_default_test,test_default_rate,feature_set,tree_backend,best_params,A_elastic_net_logistic__roc_auc,A_elastic_net_logistic__pr_auc,A_elastic_net_logistic__brier,A_elastic_net_logistic__log_loss,A_elastic_net_logistic__ece_5bin,A_elastic_net_logistic__balanced_accuracy_05,A_elastic_net_logistic__f1_05,A_elastic_net_logistic__precision_top20,A_elastic_net_logistic__recall_top20,B_gradient_boosting__roc_auc,B_gradient_boosting__pr_auc,B_gradient_boosting__brier,B_gradient_boosting__log_loss,B_gradient_boosting__ece_5bin,B_gradient_boosting__balanced_accuracy_05,B_gradient_boosting__f1_05,B_gradient_boosting__precision_top20,B_gradient_boosting__recall_top20
33,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9298245614035088,0.869047619047619,0.14046353760225785,0.45998033228810475,0.1808977698805758,0.75,0.6666666666666666,0.8,0.6666666666666666,1.0,1.0,0.07299474956562,0.26729874200030923,0.15972586620002793,0.75,0.6666666666666666,1.0,0.8333333333333334
34,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8105263157894737,0.6421568627450982,0.12214030949086509,0.39747289785029216,0.05851188054161813,0.6736842105263158,0.5,0.6,0.6,0.7473684210526317,0.6634782608695653,0.13137863821078938,0.42445524224466674,0.06429506509817884,0.7473684210526316,0.6,0.6,0.6
35,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.7052631578947369,0.7006211180124223,0.16364223837546232,0.5048916938480777,0.2174784126264878,0.7210526315789474,0.5454545454545454,0.6,0.6,0.6894736842105262,0.6488095238095237,0.11830551174136043,0.41832762562958264,0.10457194000244119,0.7736842105263158,0.6666666666666666,0.6,0.6
36,98,25,5,0.2,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.59,0.5349624060150375,0.1833269370966018,0.5419178787942102,0.21075308764367606,0.625,0.4,0.4,0.4,0.56,0.5273015873015874,0.1466061437026187,0.5138065564398004,0.1599841213589865,0.675,0.5,0.4,0.4
37,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9912280701754387,0.9761904761904762,0.07596886126635512,0.3004894708244749,0.20548134655520878,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,0.06520677855662778,0.23039774253144107,0.18198867375183836,0.75,0.6666666666666666,1.0,0.8333333333333334
38,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8421052631578948,0.6819444444444444,0.11660839920106383,0.3749105999435004,0.05897121612920709,0.7236842105263157,0.6,0.8,0.6666666666666666,0.912280701754386,0.8958333333333334,0.0863665568780032,0.31404775950257713,0.10682605561574127,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334
39,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8,0.5709090909090909,0.15593014352714954,0.4832065838628095,0.16259447679008812,0.6210526315789473,0.4,0.4,0.4,0.8,0.4378754578754579,0.14627292114184623,0.44337967604351486,0.07162997014271733,0.7210526315789474,0.5454545454545454,0.4,0.4
40,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9894736842105264,0.9666666666666667,0.0931043512297965,0.3070453080498065,0.14411971815866018,0.7,0.5714285714285714,0.8,0.8,1.0,1.0,0.11234295677856089,0.34694073023207256,0.08651675746275336,0.6,0.3333333333333333,1.0,1.0
41,98,25,5,0.2,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8400000000000001,0.7124999999999999,0.11372220279418938,0.36762554050633667,0.08442064792939763,0.675,0.5,0.6,0.6,0.7500000000000001,0.6681818181818182,0.1078769755075456,0.3748484784447982,0.07154912375527715,0.7749999999999999,0.6666666666666666,0.6,0.6
42,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.7280701754385965,0.5962823725981621,0.14653043008683153,0.45639224141021745,0.1128598682171669,0.6403508771929824,0.4444444444444444,0.4,0.3333333333333333,0.868421052631579,0.7805194805194805,0.1253424841182033,0.4050288498285728,0.12410036444831538,0.75,0.6666666666666666,0.8,0.6666666666666666
43,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9824561403508771,0.9583333333333334,0.11607311026140459,0.39740216002168544,0.27343199366250276,0.8903508771929824,0.8333333333333334,1.0,0.8333333333333334,0.9649122807017544,0.9333333333333333,0.07873325559958028,0.2783351368756033,0.11703503055593803,0.8903508771929824,0.8333333333333334,1.0,0.8333333333333334
44,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.7894736842105264,0.5909523809523809,0.13360737035411702,0.435147620722007,0.09911683188634553,0.8736842105263158,0.8,0.8,0.8,0.7263157894736842,0.495,0.129938634551078,0.4317381108804787,0.08841400531201468,0.8473684210526315,0.7272727272727273,0.6,0.6
45,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9368421052631578,0.7683333333333333,0.11378277347211267,0.3464539428433066,0.16769367884187014,0.5736842105263158,0.2857142857142857,0.8,0.8,0.9578947368421052,0.8528571428571428,0.085174380529079,0.28016271109768415,0.06771452610387496,0.6736842105263158,0.5,0.8,0.8
46,98,25,5,0.2,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.77,0.6410973084886129,0.15741610306036008,0.4902819884954303,0.1803232623567535,0.7749999999999999,0.6666666666666666,0.6,0.6,0.7899999999999999,0.7042857142857142,0.11364908343332226,0.38977585924545854,0.03287364547806752,0.75,0.6,0.6,0.6
47,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9824561403508771,0.9583333333333334,0.0885095036467965,0.31437055142021425,0.13430310364824072,0.75,0.6666666666666666,1.0,0.8333333333333334,0.9298245614035088,0.8214646464646465,0.08905380295407861,0.2999499540452792,0.10035315221089128,0.8070175438596491,0.7272727272727273,0.8,0.6666666666666666
48,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.7894736842105263,0.6960978835978836,0.15198888920119924,0.47896115823586155,0.11190084643969994,0.6666666666666666,0.5,0.6,0.5,1.0,1.0,0.13946295952956914,0.41830416472564,0.12809729277938625,0.5833333333333334,0.2857142857142857,1.0,0.8333333333333334
49,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8105263157894737,0.780952380952381,0.10357645239723727,0.3702710674769343,0.14152265640345435,0.7736842105263158,0.6666666666666666,0.6,0.6,0.8526315789473684,0.8526315789473684,0.10326869822658029,0.36661046404061937,0.15485311330289192,0.9,0.8888888888888888,0.8,0.8
50,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9052631578947369,0.7611111111111111,0.11077961492040493,0.33120330759229516,0.15516105025452573,0.7473684210526316,0.6,0.6,0.6,0.9315789473684212,0.6683333333333333,0.10253985784059677,0.3167553387092046,0.1304452123617337,0.6736842105263158,0.5,0.8,0.8
