enterprise_id,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule
E194,1,0.06666666667,0,0.004374784032,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E195,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E196,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E197,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E198,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E199,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E200,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E201,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E202,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E203,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E204,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E205,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E206,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E207,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E208,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E209,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E210,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E211,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E212,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E213,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E214,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E215,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E216,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E217,4,0.2666666667,0,1.113753067,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E218,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E219,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E220,1,0.06666666667,0,0.008344215878,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E221,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E222,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E223,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E224,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E225,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E226,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E227,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E228,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E229,1,0.06666666667,0,7.542959696e-05,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E230,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E231,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E232,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E233,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E234,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E235,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E236,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E237,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E238,1,0.06666666667,0,0.002035675579,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E239,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E240,1,0.06666666667,0,0.009569068326,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E241,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E242,2,0.1333333333,0,0.1877796422,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E243,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E244,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E245,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E246,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E247,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E248,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E249,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E250,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E251,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E252,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E253,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E254,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E255,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E256,1,0.06666666667,0,0.001216079568,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E257,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E258,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E259,1,0.06666666667,0,0.003378286662,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E260,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E261,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E262,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E263,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E264,2,0.1333333333,0,0.981694462,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E265,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E266,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E267,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E268,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E269,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E270,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E271,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E272,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E273,2,0.1333333333,0,0.6684161456,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
