scenario_id,scenario_kind,sensitivity_axis,industry_code,growth_yoy_pct,d_h_pp,S_h,D_identity,D_light,D_medium,D_severe,identity_multiplier,light_multiplier,medium_multiplier,severe_multiplier,c_pp,rho,lambda_severe,unknown_policy,unknown_S_value,known_S_p50_value,growth_source_url,source_release_date,source_period,source_standard,source_status,source_interpretation,parameter_source,duration_assumption,lgd,funding_cost_rate
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,wholesale_retail,-17.8,17.8,0.89,0.0,0.445,0.89,1.0,1.0,1.2225,1.445,1.5,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
formal_robust,formal_robust,formal_robust,accommodation_catering,-35.3,35.3,0.8825,0.0,0.44125,0.8825,1.0,1.0,1.1103125,1.220625,1.25,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,agriculture,-2.8,2.8,0.06999999999999999,0.0,0.034999999999999996,0.06999999999999999,0.10499999999999998,1.0,1.00875,1.0175,1.02625,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,construction,-17.5,17.5,0.4375,0.0,0.21875,0.4375,0.65625,1.0,1.0546875,1.109375,1.1640625,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,finance,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,information_software_it,13.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,leasing_business_services,-9.4,9.4,0.23500000000000001,0.0,0.11750000000000001,0.23500000000000001,0.35250000000000004,1.0,1.029375,1.05875,1.088125,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,manufacturing_industry,-10.2,10.2,0.255,0.0,0.1275,0.255,0.3825,1.0,1.031875,1.06375,1.095625,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,other_services,-1.8,1.8,0.045,0.0,0.0225,0.045,0.0675,1.0,1.005625,1.01125,1.016875,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,real_estate,-6.1,6.1,0.1525,0.0,0.07625,0.1525,0.22875,1.0,1.0190625,1.038125,1.0571875,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
