model,repeat_id,fold_id,converged,n_iter,max_iter_initial,max_iter_used,initial_convergence_warning,convergence_warning,retry_count
elastic_net_logistic,1,1,True,476,5000,5000,False,False,0
elastic_net_logistic,1,2,True,382,5000,5000,False,False,0
elastic_net_logistic,1,3,True,454,5000,5000,False,False,0
elastic_net_logistic,1,4,True,246,5000,5000,False,False,0
elastic_net_logistic,1,5,True,220,5000,5000,False,False,0
elastic_net_logistic,2,1,True,459,5000,5000,False,False,0
elastic_net_logistic,2,2,True,322,5000,5000,False,False,0
elastic_net_logistic,2,3,True,348,5000,5000,False,False,0
elastic_net_logistic,2,4,True,524,5000,5000,False,False,0
elastic_net_logistic,2,5,True,117,5000,5000,False,False,0
elastic_net_logistic,3,1,True,569,5000,5000,False,False,0
elastic_net_logistic,3,2,True,442,5000,5000,False,False,0
elastic_net_logistic,3,3,True,320,5000,5000,False,False,0
elastic_net_logistic,3,4,True,298,5000,5000,False,False,0
elastic_net_logistic,3,5,True,210,5000,5000,False,False,0
elastic_net_logistic,4,1,True,249,5000,5000,False,False,0
elastic_net_logistic,4,2,True,542,5000,5000,False,False,0
elastic_net_logistic,4,3,True,425,5000,5000,False,False,0
elastic_net_logistic,4,4,True,493,5000,5000,False,False,0
elastic_net_logistic,4,5,True,105,5000,5000,False,False,0
elastic_net_logistic,5,1,True,504,5000,5000,False,False,0
elastic_net_logistic,5,2,True,190,5000,5000,False,False,0
elastic_net_logistic,5,3,True,369,5000,5000,False,False,0
elastic_net_logistic,5,4,True,162,5000,5000,False,False,0
elastic_net_logistic,5,5,True,519,5000,5000,False,False,0
elastic_net_logistic,6,1,True,175,5000,5000,False,False,0
elastic_net_logistic,6,2,True,399,5000,5000,False,False,0
elastic_net_logistic,6,3,True,168,5000,5000,False,False,0
elastic_net_logistic,6,4,True,440,5000,5000,False,False,0
elastic_net_logistic,6,5,True,542,5000,5000,False,False,0
elastic_net_logistic,7,1,True,117,5000,5000,False,False,0
elastic_net_logistic,7,2,True,538,5000,5000,False,False,0
elastic_net_logistic,7,3,True,357,5000,5000,False,False,0
elastic_net_logistic,7,4,True,516,5000,5000,False,False,0
elastic_net_logistic,7,5,True,280,5000,5000,False,False,0
elastic_net_logistic,8,1,True,569,5000,5000,False,False,0
elastic_net_logistic,8,2,True,410,5000,5000,False,False,0
elastic_net_logistic,8,3,True,239,5000,5000,False,False,0
elastic_net_logistic,8,4,True,400,5000,5000,False,False,0
elastic_net_logistic,8,5,True,148,5000,5000,False,False,0
elastic_net_logistic,9,1,True,187,5000,5000,False,False,0
elastic_net_logistic,9,2,True,424,5000,5000,False,False,0
elastic_net_logistic,9,3,True,498,5000,5000,False,False,0
elastic_net_logistic,9,4,True,486,5000,5000,False,False,0
elastic_net_logistic,9,5,True,170,5000,5000,False,False,0
elastic_net_logistic,10,1,True,307,5000,5000,False,False,0
elastic_net_logistic,10,2,True,462,5000,5000,False,False,0
elastic_net_logistic,10,3,True,187,5000,5000,False,False,0
elastic_net_logistic,10,4,True,445,5000,5000,False,False,0
elastic_net_logistic,10,5,True,346,5000,5000,False,False,0
hist_gradient_boosting,1,1,True,100,100,100,False,False,0
hist_gradient_boosting,1,2,True,100,100,100,False,False,0
hist_gradient_boosting,1,3,True,100,100,100,False,False,0
hist_gradient_boosting,1,4,True,100,100,100,False,False,0
hist_gradient_boosting,1,5,True,100,100,100,False,False,0
hist_gradient_boosting,2,1,True,100,100,100,False,False,0
hist_gradient_boosting,2,2,True,100,100,100,False,False,0
hist_gradient_boosting,2,3,True,100,100,100,False,False,0
hist_gradient_boosting,2,4,True,100,100,100,False,False,0
hist_gradient_boosting,2,5,True,100,100,100,False,False,0
hist_gradient_boosting,3,1,True,100,100,100,False,False,0
hist_gradient_boosting,3,2,True,100,100,100,False,False,0
hist_gradient_boosting,3,3,True,100,100,100,False,False,0
hist_gradient_boosting,3,4,True,100,100,100,False,False,0
hist_gradient_boosting,3,5,True,100,100,100,False,False,0
hist_gradient_boosting,4,1,True,100,100,100,False,False,0
hist_gradient_boosting,4,2,True,100,100,100,False,False,0
hist_gradient_boosting,4,3,True,100,100,100,False,False,0
hist_gradient_boosting,4,4,True,100,100,100,False,False,0
hist_gradient_boosting,4,5,True,100,100,100,False,False,0
hist_gradient_boosting,5,1,True,100,100,100,False,False,0
hist_gradient_boosting,5,2,True,100,100,100,False,False,0
hist_gradient_boosting,5,3,True,100,100,100,False,False,0
hist_gradient_boosting,5,4,True,100,100,100,False,False,0
hist_gradient_boosting,5,5,True,100,100,100,False,False,0
hist_gradient_boosting,6,1,True,100,100,100,False,False,0
hist_gradient_boosting,6,2,True,100,100,100,False,False,0
hist_gradient_boosting,6,3,True,100,100,100,False,False,0
hist_gradient_boosting,6,4,True,100,100,100,False,False,0
hist_gradient_boosting,6,5,True,100,100,100,False,False,0
hist_gradient_boosting,7,1,True,100,100,100,False,False,0
hist_gradient_boosting,7,2,True,100,100,100,False,False,0
hist_gradient_boosting,7,3,True,100,100,100,False,False,0
hist_gradient_boosting,7,4,True,100,100,100,False,False,0
hist_gradient_boosting,7,5,True,100,100,100,False,False,0
hist_gradient_boosting,8,1,True,100,100,100,False,False,0
hist_gradient_boosting,8,2,True,100,100,100,False,False,0
hist_gradient_boosting,8,3,True,100,100,100,False,False,0
hist_gradient_boosting,8,4,True,100,100,100,False,False,0
hist_gradient_boosting,8,5,True,100,100,100,False,False,0
hist_gradient_boosting,9,1,True,100,100,100,False,False,0
hist_gradient_boosting,9,2,True,100,100,100,False,False,0
hist_gradient_boosting,9,3,True,100,100,100,False,False,0
hist_gradient_boosting,9,4,True,100,100,100,False,False,0
hist_gradient_boosting,9,5,True,100,100,100,False,False,0
hist_gradient_boosting,10,1,True,100,100,100,False,False,0
hist_gradient_boosting,10,2,True,100,100,100,False,False,0
hist_gradient_boosting,10,3,True,100,100,100,False,False,0
hist_gradient_boosting,10,4,True,100,100,100,False,False,0
hist_gradient_boosting,10,5,True,100,100,100,False,False,0
elastic_net_logistic,full,full_123,True,372,5000,5000,False,False,0
