experiment,feature_set,model,scope,n_features,pr_auc,brier,log_loss,roc_auc,calibration_error_5bin,balanced_accuracy,f1,threshold_0_5_precision,threshold_0_5_recall,top20_recall,top20_precision,feature_names
feature_set_sensitivity,primary_model_features,elastic_net_logistic,enterprise_aggregated_oof,15,0.6814369279,0.1090988317,0.3604834303,0.8645833333,0.08490481566,0.6828703704,0.5238095238,0.7333333333,0.4074074074,0.7037037037,0.76,sales_scale_10k|purchase_scale_10k|operating_net_inflow_proxy_10k|sales_growth_trend|sales_monthly_cv|invoice_activity_per_month|sales_return_rate|purchase_return_rate|void_invoice_rate|customer_count|supplier_count|customer_hhi|supplier_hhi|purchase_sales_ratio|active_month_ratio
feature_set_sensitivity,sensitivity_model_features_full_nonconstant,elastic_net_logistic,enterprise_aggregated_oof,20,0.6806971102,0.1077756426,0.3573498692,0.8645833333,0.09869454035,0.6828703704,0.5238095238,0.7333333333,0.4074074074,0.7037037037,0.76,business_scale_10k|sales_scale_10k|purchase_scale_10k|net_sales_10k|operating_net_inflow_proxy_10k|sales_growth_trend|sales_monthly_cv|invoice_activity_per_month|sales_return_rate|purchase_return_rate|void_invoice_rate|customer_count|supplier_count|customer_hhi|supplier_hhi|max_customer_share|max_supplier_share|purchase_sales_ratio|active_month_ratio|longest_active_streak_ratio
feature_set_sensitivity,sales_scale_replaced_by_net_sales,elastic_net_logistic,enterprise_aggregated_oof,15,0.6830972927,0.1088293819,0.3592661624,0.8680555556,0.085843906,0.6828703704,0.5238095238,0.7333333333,0.4074074074,0.7037037037,0.76,purchase_scale_10k|operating_net_inflow_proxy_10k|sales_growth_trend|sales_monthly_cv|invoice_activity_per_month|sales_return_rate|purchase_return_rate|void_invoice_rate|customer_count|supplier_count|customer_hhi|supplier_hhi|purchase_sales_ratio|active_month_ratio|net_sales_10k
feature_set_sensitivity,hhi_replaced_by_max_share,elastic_net_logistic,enterprise_aggregated_oof,15,0.6919958617,0.1104534652,0.3623469228,0.8688271605,0.08666869882,0.7013888889,0.5581395349,0.75,0.4444444444,0.7037037037,0.76,sales_scale_10k|purchase_scale_10k|operating_net_inflow_proxy_10k|sales_growth_trend|sales_monthly_cv|invoice_activity_per_month|sales_return_rate|purchase_return_rate|void_invoice_rate|customer_count|supplier_count|purchase_sales_ratio|active_month_ratio|max_customer_share|max_supplier_share
feature_set_sensitivity,active_month_replaced_by_longest_streak,elastic_net_logistic,enterprise_aggregated_oof,15,0.7135540733,0.1079691503,0.3577568292,0.8665123457,0.0852488101,0.6880787037,0.5365853659,0.7857142857,0.4074074074,0.7037037037,0.76,sales_scale_10k|purchase_scale_10k|operating_net_inflow_proxy_10k|sales_growth_trend|sales_monthly_cv|invoice_activity_per_month|sales_return_rate|purchase_return_rate|void_invoice_rate|customer_count|supplier_count|customer_hhi|supplier_hhi|purchase_sales_ratio|longest_active_streak_ratio
