model,repeat_id,fold_id,converged,initial_convergence_warning,convergence_warning,n_iter,max_iter_used,retry_count
elastic_net_logistic,1,1,True,False,False,476,5000,0
elastic_net_logistic,1,2,True,False,False,382,5000,0
elastic_net_logistic,1,3,True,False,False,454,5000,0
elastic_net_logistic,1,4,True,False,False,246,5000,0
elastic_net_logistic,1,5,True,False,False,220,5000,0
elastic_net_logistic,2,1,True,False,False,459,5000,0
elastic_net_logistic,2,2,True,False,False,322,5000,0
elastic_net_logistic,2,3,True,False,False,348,5000,0
elastic_net_logistic,2,4,True,False,False,524,5000,0
elastic_net_logistic,2,5,True,False,False,117,5000,0
elastic_net_logistic,3,1,True,False,False,569,5000,0
elastic_net_logistic,3,2,True,False,False,442,5000,0
elastic_net_logistic,3,3,True,False,False,320,5000,0
elastic_net_logistic,3,4,True,False,False,298,5000,0
elastic_net_logistic,3,5,True,False,False,210,5000,0
elastic_net_logistic,4,1,True,False,False,249,5000,0
elastic_net_logistic,4,2,True,False,False,542,5000,0
elastic_net_logistic,4,3,True,False,False,425,5000,0
elastic_net_logistic,4,4,True,False,False,493,5000,0
elastic_net_logistic,4,5,True,False,False,105,5000,0
elastic_net_logistic,5,1,True,False,False,504,5000,0
elastic_net_logistic,5,2,True,False,False,190,5000,0
elastic_net_logistic,5,3,True,False,False,369,5000,0
elastic_net_logistic,5,4,True,False,False,162,5000,0
elastic_net_logistic,5,5,True,False,False,519,5000,0
elastic_net_logistic,6,1,True,False,False,175,5000,0
elastic_net_logistic,6,2,True,False,False,399,5000,0
elastic_net_logistic,6,3,True,False,False,168,5000,0
elastic_net_logistic,6,4,True,False,False,440,5000,0
elastic_net_logistic,6,5,True,False,False,542,5000,0
elastic_net_logistic,7,1,True,False,False,117,5000,0
elastic_net_logistic,7,2,True,False,False,538,5000,0
elastic_net_logistic,7,3,True,False,False,357,5000,0
elastic_net_logistic,7,4,True,False,False,516,5000,0
elastic_net_logistic,7,5,True,False,False,280,5000,0
elastic_net_logistic,8,1,True,False,False,569,5000,0
elastic_net_logistic,8,2,True,False,False,410,5000,0
elastic_net_logistic,8,3,True,False,False,239,5000,0
elastic_net_logistic,8,4,True,False,False,400,5000,0
elastic_net_logistic,8,5,True,False,False,148,5000,0
elastic_net_logistic,9,1,True,False,False,187,5000,0
elastic_net_logistic,9,2,True,False,False,424,5000,0
elastic_net_logistic,9,3,True,False,False,498,5000,0
elastic_net_logistic,9,4,True,False,False,486,5000,0
elastic_net_logistic,9,5,True,False,False,170,5000,0
elastic_net_logistic,10,1,True,False,False,307,5000,0
elastic_net_logistic,10,2,True,False,False,462,5000,0
elastic_net_logistic,10,3,True,False,False,187,5000,0
elastic_net_logistic,10,4,True,False,False,445,5000,0
elastic_net_logistic,10,5,True,False,False,346,5000,0
