model,repeat_id,fold_id,n_train,n_test,n_default_test,pr_auc,brier,log_loss,roc_auc,calibration_error_5bin,balanced_accuracy,f1,top20_recall,top20_precision
elastic_net_logistic,8,2,98,25,6,1,0.06223514711,0.236095053,1,0.1471023186,0.9166666667,0.9090909091,0.8333333333,1
elastic_net_logistic,8,3,98,25,6,0.876984127,0.08943934249,0.3144512495,0.9210526316,0.0867625636,0.8070175439,0.7272727273,0.6666666667,0.8
elastic_net_logistic,8,4,99,24,5,0.3726373626,0.167264238,0.4889790362,0.7473684211,0.1467736356,0.6947368421,0.5,0.4,0.4
elastic_net_logistic,8,5,99,24,5,0.885,0.1131858569,0.3482789497,0.9578947368,0.1591971237,0.5,0,0.8,0.8
elastic_net_logistic,9,1,98,25,5,0.8666666667,0.09649301519,0.3298867536,0.9,0.1567410707,0.7,0.5714285714,0.8,0.8
elastic_net_logistic,9,2,98,25,6,0.8026315789,0.1117077962,0.3763669635,0.8421052632,0.1205611486,0.75,0.6666666667,0.6666666667,0.8
elastic_net_logistic,9,3,98,25,6,0.9055555556,0.07708854084,0.2770604476,0.9561403509,0.09753520752,0.8903508772,0.8333333333,0.6666666667,0.8
elastic_net_logistic,9,4,99,24,5,0.47,0.1374351422,0.4391856518,0.7578947368,0.1107689214,0.6473684211,0.4444444444,0.6,0.6
elastic_net_logistic,9,5,99,24,5,0.4825,0.1497924447,0.4558947787,0.7894736842,0.1177571065,0.5736842105,0.2857142857,0.6,0.6
elastic_net_logistic,10,1,98,25,5,0.8034782609,0.107320618,0.3850495112,0.81,0.1979239871,0.875,0.8,0.8,0.8
elastic_net_logistic,10,2,98,25,6,0.9583333333,0.08144456572,0.2813809183,0.9824561404,0.1403304831,0.75,0.6666666667,0.8333333333,1
elastic_net_logistic,10,3,98,25,6,0.8310457516,0.1187412274,0.3774296976,0.8859649123,0.1284109628,0.5833333333,0.2857142857,0.6666666667,0.8
elastic_net_logistic,10,4,99,24,5,0.8588235294,0.08696313758,0.3204911912,0.8736842105,0.1883099095,0.8,0.75,0.8,0.8
elastic_net_logistic,10,5,99,24,5,0.6587301587,0.1289377693,0.3765241499,0.8842105263,0.1351769693,0.6210526316,0.4,0.4,0.4
