scenario_id,scenario_kind,sensitivity_axis,sensitivity_level,risk_variant,lgd,funding_cost_rate,budget_definition,d_probability_threshold,uncertainty_cap_10k,ood_novelty_threshold,interval_width_threshold,risk_disagreement_threshold,rating_entropy_threshold,solve_status,solver_status_code,is_optimal,validation_status,enterprise_count_total,eligible_enterprise_count,D_reject_count,uncertainty_cap_count,selected_enterprise_count,nominal_offered_amount_10k,nominal_offered_amount_yuan,expected_disbursed_amount_10k,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,decomposition_difference_10k,objective_value_solver_10k,objective_value_recomputed_10k,objective_recomputation_difference_10k,budget_10k,budget_difference_10k,expected_disbursement_difference_10k,budget_constraint_pass,budget_equality_required,fallback_used,weighted_risk_used,weighted_D_probability,weighted_acceptance_probability,weighted_customer_churn_mass_ABC,risk_interpretation,customer_churn_interpretation,risk_interval_is_external_confidence_interval
sensitivity_d_probability_threshold_0p9,sensitivity,d_probability_threshold,0.9,mean,0.5,0.03,nominal_equality,0.9,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,296,6,251,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_uncertainty_cap_10k_30p0,sensitivity,uncertainty_cap_10k,30.0,mean,0.5,0.03,nominal_equality,0.8,30,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,238,10000,100000000,1910.929573,208.0618193,69.22371899,57.32788719,81.5102131,0,81.5102131,81.5102131,1.421085472e-14,10000,0,-8089.070427,True,True,False,0.07245030896,0.02866855565,0.1910929573,0.7646270978,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_uncertainty_cap_10k_50p0,sensitivity,uncertainty_cap_10k,50.0,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_uncertainty_cap_10k_70p0,sensitivity,uncertainty_cap_10k,70.0,mean,0.5,0.03,nominal_equality,0.8,70,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,130,10000,100000000,2244.393529,240.0427632,60.00244959,67.33180587,112.7085077,-1.421085472e-14,112.7085077,112.7085077,0,10000,0,-7755.606471,True,True,False,0.05346874229,0.01824638236,0.2244393529,0.7537194389,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_ood_novelty_threshold_0p5,sensitivity,ood_novelty_threshold,0.5,mean,0.5,0.03,nominal_equality,0.8,50,0.5,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_ood_novelty_threshold_1p0,sensitivity,ood_novelty_threshold,1.0,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_ood_novelty_threshold_1p5,sensitivity,ood_novelty_threshold,1.5,mean,0.5,0.03,nominal_equality,0.8,50,1.5,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_interval_width_threshold_0p15,sensitivity,interval_width_threshold,0.15,mean,0.5,0.03,nominal_equality,0.8,50,1,0.15,0.2,0.75,optimal,0,True,PASS,302,290,12,249,165,10000,100000000,2123.637962,230.5551707,63.04384581,63.70913886,103.802186,-2.842170943e-14,103.802186,103.802186,-1.421085472e-14,10000,0,-7876.362038,True,True,False,0.05937344023,0.02148855349,0.2123637962,0.76097862,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_interval_width_threshold_0p2,sensitivity,interval_width_threshold,0.2,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_interval_width_threshold_0p25,sensitivity,interval_width_threshold,0.25,mean,0.5,0.03,nominal_equality,0.8,50,1,0.25,0.2,0.75,optimal,0,True,PASS,302,290,12,243,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_budget_definition_nominal_equality,sensitivity,budget_definition,nominal_equality,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_budget_definition_nominal_cap,sensitivity,budget_definition,nominal_cap,mean,0.5,0.03,nominal_cap,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,False,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_budget_definition_expected_disbursement_cap,sensitivity,budget_definition,expected_disbursement_cap,mean,0.5,0.03,expected_disbursement_cap,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,208,12400,124000000,2398.658448,264.5264434,84.057512,71.95975344,108.509178,0,108.509178,108.509178,0,10000,2400,-7601.341552,True,False,False,0.07008710395,0.02692811111,0.1934401974,0.7709297896,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
